clean_review,sentiment,dominant_topic
fire good price bought device use children therapy practice taking awhile figure set organize took set things amazon approve charging account registering prime could figure settings picture quality screen beautiful camera photos pixelated,Positive,1
beginner tablet year old son inexpensive tablet use learn step nabi thrilled learn skype already,Positive,0
amazon fire rd amazon fire battery life outstanding really nice reading book worry battery nice size,Positive,1
hesitant first impressed first wasnt sure something needed already echo sale black friday thought soon set understood needed enhances everything alexa able see says great seeing adjusting shopping list touch amazing love walking room seeing little news blurbs looks sleek beautiful counter highly recommend anyone,Positive,1
best tablet market money bought wife gift replace older fire absolutely loves features needs think better tablet market value incredible,Positive,0
cool love kitchen play music ask questions make list set timers etc,Positive,1
screen changes everything heart echo screen things make much easier recommendation simarly priced screenless echo plus,Positive,1
excellent reader works well easy use like auto open case,Positive,1
outstanding great entertainment friends knowledge jokes tons fun,Positive,1
works great definitely amazing deal amazing price black friday weekend,Positive,1
magic picture box little sorcerer box displays magical pictures bright pretty colors,Positive,0
love toddler kindle fire kid easy enough year old work,Positive,4
great product use alexa ecosystem show must,Positive,1
says missing one key feature nothing spectacular item also nothing majorly wrong biggest flaw geared kids way found searching settings online lock touch screen video keeps playing child hits screen means lots times helping get back movie show rather relaxing like ipad guided access activated,Neutral,1
unbelievable value commercials correct price multiple devices household price comparable competitor tablet,Positive,0
love tablet set tablet geeks squad monday april,Positive,0
got like video goes along perfect must buy,Positive,1
easier read first kindle fire love tablet bigger,Positive,2
good item granddaughters good pick first kids tablets wish getting apps little easier,Positive,0
love weary first easy setup get hang definitely makes life easier,Positive,1
great gift love better paper bac gift family member really enjoy options getting books,Positive,1
nice sound alexa works pretty good music sounds good exploring skills,Positive,0
echo tap great love echo tap personal alarm informs today weather forcast local events great purchase,Positive,1
good basic tablet pretty decent tablet good mindless games netflix get pay,Positive,0
really great really enjoy another way communicate family friends,Positive,1
great use time playing games reading books great surfing web,Positive,1
awesome product echo show great accessory house great picture great sound simple use wife uses recipes cooking making grocery lists also listens music crisp sound ask alexa pretty much anything,Positive,1
wife loves new fire tablet since purchased mine wife thought would also like one picked one using lot,Positive,0
great tablet kids son washed twice throw times still ticking,Positive,0
awesome alexa home automated help alexa want one room,Positive,1
best kindle yet great ereader little pricy specs voyage far pixels procesor costs less difference voyage much lighter brighter leds longer battery life using cover noticed battery life drains much faster without cover still able read hours without would think water resistant hence name plan reading raining outside taking bath overall best ereader amazon currently offer mind price tag want best go voyage still bad option though,Positive,1
year olds love love tablet numerous educational apps available bought one,Positive,1
granddaughter loves bought yr old granddaughter everything wants tablet,Positive,0
pleased kindle unable find new kindle store excited find best buy online could purchase delivered simply easily,Positive,2
great tablet yo great miss hd option yo loves,Positive,0
love new options available new kindle read books listen books go facebook shop search web almost anything brand new kindle fire,Positive,2
great everyday media great tablet simple tasks bought complaints,Positive,1
amazon fire hd tablet gb purchase replace fire hd left plane found return days later like smaller version due size years newer technology side,Positive,2
echo show easy use love echo show much easy use connects mobil phone easily call people,Positive,1
great ereader chose one price size screen use ereader disappointed,Positive,1
easy use bought year old father loves finds easy use,Positive,1
great product works still learning figuring,Positive,1
external pdf work properly everything great except read external pdfs properly either zooms much little kindle books provides great experience battery life awesome,Positive,1
excellent product easy install easy use enjoy product learn time,Positive,1
reader good product quality product good easy use,Positive,1
great tablet kids book readings worth every penny kids loved home quieter ever,Positive,0
great product great looking recipes cooking hands tied also perfect dropping family friends,Positive,1
love love tap speaker nice likenit charging cradle sit easy charge,Positive,1
great tablet would highly recommend kindle user friendly big large enough see easily,Positive,0
set yet unfair rate product cause even taken box set,Neutral,1
excellent great son years old help homework,Positive,1
useless screen pay worthless except regular echo poor excuse video chat love echo devices bathroom pool kitchen places may need hands free voice activated music info wife bought newest hottest thing skeptical thought would use help project alexa find videos f drone alexa youtube available amazon directly sell chrome products youtube play echo show testing shows video call limited iphone android apps video useful thing voice functions echos dots perform unless want make video calls check weather device move feet outlet,Negative,1
great tablet minimal expense table great experience available tablet without hugh expense would recommend others,Positive,0
kindle gift daughter loves opened far know great purchase,Positive,1
great tablet kids love buy stuff best buy employees great helping everything needespecially jissela,Positive,1
great pad children adults love choice colors two kindles purchased gift,Positive,4
screen nice addition overall works well sound better dot screen clear,Positive,3
great easy set use best buy employees huge help teaching many features,Positive,1
amazon fire tablet bad amazon turned tablet big advertising tool many apps dont work camera good,Negative,0
amazing love echo show many features great purchase,Positive,1
good parental controls year old loves good control options need figure get web browser side,Positive,0
home screen terribly easy navigate first turn kindle home screen make easy determine exactly open read downloaded book,Positive,1
well worth price really enjoyed far perfect means certainly worth price,Positive,0
great product fianc e really enjoyes would definitely recommend,Positive,1
best e reader market excellent screen small changes form make huge different adore flatness much brightness perfect daylight imo worth cost,Positive,1
tap purchased tap thought portable speaker echo actually device yes portable operate wireless work alexa set echo operates hands simply speak alexa tap microphone button need hold speak alexa great sound quality rechargeable base unit,Positive,1
great tablet price tablets work wonders needs didnt need tablet work web browsing play games nothing fancy tablet fits perfectly price pff perfect wont find quality cheaper,Positive,0
yr old excellent value yr old everything need plus hd wife order amazon prime happy wife kid price cant beat nd one owned,Positive,0
solid tablet bought present year old grandma loves easy operate issues,Neutral,0
great tablet kiddo functionality child needs easy parental controls like child profile approved content,Positive,0
great tablet needed tablet games apps elderly great choice,Positive,0
good bought xmass wife electronic competent found easy use,Positive,1
got grandsons pleased tablet purchased one grandsons use play games together send messages grandparents awhile,Positive,0
best one yet one best dots nice cameras ask camera get screen spend extra,Positive,1
many uses performs well last christmas gave nephew fire stick loved meantime purchased amazon tap since likes gadgets knew would want one purchased,Positive,4
kid kindle bought kindle year old grand daughter bought warranty bought august already replace charger connection got loose charging well happened need exchange problem buy warranty time going buy one brothers sister rethinking,Negative,4
let light let light awesome able walk room spoken word light go equally impressive gradually goes bright blinded,Positive,1
best class priced right feels like affordable tablet best class priced either works well happy purchase,Positive,0
great product bought kindle grandson loves easy use,Positive,1
awesome item work expected great product,Positive,1
great tablet kids daughter loves parental controls simple makes easy monitoring kid,Positive,0
awesome got dad christmas awesome gift super excited,Positive,1
alexa husband loves ability listen anything able run living room light comes instead trying find light switch,Positive,1
inch kindle nice tablet fast capable storage options way better previous models would highly recommend tablet anyone market one,Positive,0
great alternative ipad bought kids cheap alternative ipad mini lose break easy replace little pocket,Positive,1
great step echo dot got dad christmas likes speakers sound better also enjoys able make video calls,Positive,1
great item love kindle works great ordering another one today wife,Positive,1
kids love definitely keep buying kindle fire best buy,Positive,1
great improvement tablet much better older tablet faster camera great improvement older version,Positive,0
love product love echo show best feature flash bringing gives us rundown news weather morning,Positive,1
know waited long find saying phone alexa play wish made car,Positive,1
perfect little techies year old loves break thick rubber case control games plays long plays great mix educational fun items problem charging cord bit easy break pull charger makes port loose get right angle charge,Positive,4
amazon echo great item love echo could mow yard kids,Positive,1
fun gadget fun gadget plays songs various entertainment still learning,Positive,1
alexa great device really reluctant buying alexa read much item bought package alexa phillips bulb amazed well works,Positive,1
fantastic personal assistent echo show addictive pairs easy fantastic sound video download alexa app learn things becomes indispensable video calls work well great office kitchen,Positive,1
great tablet beginner kid enjoys tablet one inexpensive ipad availability apps limited,Positive,0
great tablet bought tablet three year old niece easy set loves also purchased kids free case protect,Positive,0
great gift tablet works amazon video smart tvs well firesticks,Positive,0
perfect kids perfect year old nothing fancy parental control bit confusing got case perfect keep safe get sd card extra memory,Positive,4
fire tablet bought tablet year old holding good loves enjoys playimg games able get internet,Neutral,0
came defective bought kindles past time one came defective port bent hard charge still possible comes different color gb enough space kids camera ok quality best ok pics taken kids,Neutral,4
good reader substitute ipad really good tablet reading minimal internet usage,Neutral,0
looks good easy setup never owned kindle easy setup get going also looks really good text super easy read even smaller fonts also really like buttons side turn pages lot easier flip pages compared tapping screen,Positive,1
never purchased frustrating device reading positive reviews wish could say best buy great reflection experience product product one month contact amazon support perform factory resets get content show device poorly designed sd card pops constantly messes drm good happens connected internet fix returning spending extra money ipad purchase another kindle device unfortunately based experience use device reading maybe trying download information sd card actually able access beyond frustrating well factory resets content owned already purchased amazon would show device library,Negative,1
big fan say little confusing frustrating getting verification code amazon waited minutes requested another code nothing nother one still nothing started set device fed step away hours went shopping mall recieved codes amazon,Negative,1
wife bought used watch youtube phone wife decided needed something bigger seem like much buy micro sd card,Positive,4
kids love bought year old love play music ask questions science lots fun,Positive,1
awesome device echo plus awesome device lots information speech,Positive,1
great tablet begginer granddaughter happy great kids learn reading help,Positive,0
kids love great tablet ages kids love,Positive,1
great kids love could get color right size little hands,Positive,1
great kids used learning apps yo fact put dryer throwing clothes completely broke works wonders nd one bought,Positive,1
great tablet young children bought gift year old granddaughter learning get apps play games like contol watch play,Positive,0
great tablet works great us video calling kids watching videos,Positive,1
love bought fire yr old aunt loves easy use,Positive,1
great product every day use like ease usage amazon show amazon echo decided upgrade video call overall great product,Positive,1
easily loaded problem cutting device good easy read,Positive,1
works well easy see like contrast easy read outside,Positive,1
alexa win alexa greatest device around house basically runs house,Positive,1
great e reader love e reader reader backlit needed something could use low light works perfectly reading night sun light adjustable love downloading books library g connection used yet far used wi fi areas,Positive,1
step echo nice way see internet also view security cameras handy device,Positive,1
amazon lover avid amazon user shopping tablets bought different model younger brother purchased one grandparents love,Positive,4
great get thing sale amazing deal amazon features right face books manga gaming amazon easy hold amazing battery life pretty decent screen sure galaxy tablets better specs price features get amazon make device amazing,Positive,1
great product recommend tablet like lot perfect size perfect price,Positive,0
great tablet good price tablet good gift christmas bought black friday cheap price,Positive,0
good tablet infants years old daughter really likes friendly easy use,Positive,0
wife really enjoy using alexa wife enjoy using alexa weather information also great music able access also light control alexa never walk dark house,Positive,1
fast charger bought charger kindle voyage great,Positive,4
useful home far echo extreme useful husband says start day morning gives weather traffic leaves work also nice tell turn lights home smart bulbs overall extremely satisfied echo plus,Positive,1
great reader gift mom problem learning use,Positive,1
good works great,Positive,0
super fast tablet love purchased gift mother amazon fanatic loves made christmas year,Positive,0
bought gift got one daughter last year loves,Positive,4
great screen sound color love product able read recipes instead hearing speaker pretty good,Positive,1
kids love children think greatest kind partial agree limit time access things built like tank,Positive,1
excellent tablet money better concerns battery life could bit better cheap plastic feel great light browsing kindle reading though,Positive,0
perfect purchased year old grand daughter loves,Positive,4
good product easy kid handle product purchased son use another product required particular tablet think compared brands one pretty good easy operate like parent approve settings games activity child use would however like see product allow google accounts hook way get stuff google play amazon store,Positive,1
best kindle yet best kindle ereader yet size weight make perfect comfortable reading find reading books ever,Positive,4
excellent choice friend received amazon echo gift enjoying researched decided echo plus wanted capability use control home lighting absolutely love product controls lights several rooms well outdoor lighting features weather news briefs traffic fun lighting control,Positive,1
good year old device good looking starter tablet young individual,Neutral,0
wife likes competitive price unit works well like color size,Positive,1
great easy set echo plus everything expected plus easy set,Positive,1
love alexa alexa great product perform tasks answer kinds questions show video feature makes much interactive,Positive,1
love kindle love user friendly kindle fire age,Positive,2
love kindle rd kindle upgrade love everything ebooks read night games movies show extremely well feels though right kids ipads stuck kindle,Positive,2
great kids amazon free time great small kids get entertained,Positive,1
better expected hope find books electronic format,Positive,3
great item alexa show great product price even better,Positive,1
bought friend loves bought present friend uses time hd screen crystal clear tablet competes well bigger names,Positive,0
great kindle several variations kindle past recent paperwhite say best size balance better adaptable light feature brightness good screen quality construction improvement overall reading experience much improved paperwhite,Positive,1
great buy read lot really good read lot strain eyes light weight demerit cant use night enough light,Positive,1
good product purchase replacing echo moved bedroom sound far superior dot decent sound echos keep getting better useful,Positive,3
great item works expected easy use hurt eyes like tablet would,Positive,1
great tablet perfect teenage tablet perfect homework,Positive,0
gift replace broken kindle writing review get points gift mother think likes fine,Positive,2
love kindle fire third kindle fire improves time colors crisper best stays charged lot longer,Positive,2
great product great price purchased family member love would recommend,Positive,1
simple nice really looking simple cheap tablet play games mess around screen really nice serves purpose well video games work really well real negative tablet cameras good really need use big deal,Positive,0
awesome wife loves alexa uses pandora kids love talking,Positive,1
great product works great dogs would actually answer call would even better interested least see,Positive,1
outstanding love screen able see video along cameras vivint smart home,Positive,1
amazon tap amazon tap like wish could say name would respond sounds great playing music,Positive,1
gift bought wife christmas present replace old barnes noble nook loves lighter faster lot newer apps great cheap reader,Positive,1
entertainment mom bought mom enjoys checking email facebook enjoys playing games,Positive,0
great tablet age product easy use screen size great would recommend anyone,Positive,1
great bundle alexa bundle help test philips hue light purchased additional tplink plug,Positive,1
great tablet kids personally like old shape square kindle better use inch loved grandkids dropped work,Positive,1
good liked really old one bit better broke years suddenly screen failed pay bucks extra get rid ads amazon aware first bought expensive expected,Positive,0
fun useful everybody enjoys product use show things home daughters melbourne florida keep running shopping list seen asking verbal visual reminders events,Positive,1
great tablet gave gift kid autism helping development lot,Positive,0
library love kindle fire holds library books read anywhere change kindle fire phone kindle start right book finish kindle fire play games listen books device love,Positive,2
excellent product price allows watch read digitally great product,Positive,1
awesome games movies bought use travels comes handy surfing web,Positive,1
great price basic tablet purchased last tablet died meets basic needs price great,Positive,0
wonderful crisp screen display love new echo show best alexa family,Positive,1
great purchase bought daughter uses ap classes easier use bigger screen phone screen class loves price great,Positive,1
great beginner tablet grand daughter loves parents durable highly recommend product,Positive,0
awesome device love device wrong color overall great device family,Positive,1
great product beginners purchased dad needed something easy use really enjoys,Positive,1
sweet tablet kindle fire hd sweet tablet reading apps like netflix hulu,Positive,0
awesome product purchased christmas gift wife used yet several echo dots love coming hue light bulb added bonus,Positive,1
perfect kids tablet great kids tablet come handy long road trips price great buy,Positive,0
love new echo show hesitant purchasing new echo glad really like feedback screen seeing results addition voice using weather recipes anything displayed big help echo show responds fairly fast looks great kitchen counter definite winner one,Positive,1
book readers best friend author frequently give away promotional prizes readers love,Positive,1
easy enough grandpa tablet worked without hitch bought father shy couple instructions using without assistance,Positive,0
great first tablet excellent product children love item thanks,Positive,1
love plays music request answers questions even tells jokes yr old much capability unleashed yet,Positive,1
love large kindle store representative took time choose right size lady check got hooked best buy program membership,Positive,1
like hub built purchased son xmas experiencing one sons home,Positive,1
decent tablet got sale decent display tell par tablets great prime use services great speakes makes huge difference audio quality battert life good complaints gave stars due play store access way around took work,Positive,1
alexa amazing love echo plus alexa go girl everything music sounds great kitchen,Positive,1
modern family amazon philips hue work great together easy setup drawback using bulbs non philips dimmer switch bulbs flicker bit even set full,Positive,1
connect tried hook recognize internet contact best buy get home guys come see get working,Neutral,1
great price good price works great would buy good value price,Positive,0
best new fun addition house love new echo easy set use,Positive,1
easy eyes use easy figure like paperwhite strain eyes adjust size font bought one mom loves con touch sensitivity could better bad sale,Positive,1
mo girl purchased alexa echo plus instead bridge smart home alexa great smart home setup easy,Positive,1
perfect tweens bought daughter christmas absolutely loves since opened,Positive,1
kindle hd smaller overall size screen size older kindle fire faster processor,Positive,2
great tablet great tablet easy use recommend others,Positive,0
awsome easy use super clear beat price around great buy,Positive,1
good kids good device children know better,Negative,0
good price bought read books excellent difficult navigate otherwise,Positive,0
gift tablets best used personal reading clear like book dont sahre,Positive,1
great tablet great tablet wife wanted loves wifi much better old one,Positive,0
nice tablet simple use great easy tablet reasonable price super powerful get job done simple tasks surfing web checking email playing youtube etc screen clear responsive great inexpensive tablet,Positive,0
nice lightweight replaced nook fire tablet disappointed cannot use chromecast realize would tied amazon good tablet far,Positive,0
easy use easy use useful source kids activity road load movies books games cheap product great use good education ur kids,Positive,1
love alexa loved echo much bought sister one turn lights get home asking alexa,Positive,1
awesome speaker bought year old daughter loves friends even loved much went bought,Positive,4
far good bought year old loves already got things figured good educational programs fun ones,Positive,0
want one great sounding bluetooth speaker alexa feature listen kindle books available audio books,Positive,1
excellent kids great tablet children really easy use format apps work well keep kid entertained distracting mechanics,Positive,1
nice product price used ipads house taken learning get used slightly different format works great price point perfect kids use without worry,Positive,1
great product thing like screen made seen sunlight wanted take beach poolside read would able see sunlight otherwise terrific,Positive,1
ease use need would happy give christmas gifts many people know love size screen charge last bluetooth sinks well wireless keyboard almost good ipad,Positive,1
great tablet elementary schoolers year olds love tablets able play age appropriate content tablet seems well powered case providing good protection,Positive,0
great price got year old son great reading books playing games beat price,Positive,0
great product exactly wanted easy voice commands,Positive,1
terrible product bad voice quality speaker voice quality terrible compare similar size logitech ue boom price high even got promotion,Negative,4
kindle like read excellent device better devices price going find comparable product,Positive,4
perfect young kids kids love kindles love free time numerous educational games,Positive,1
excellent product granddaughter wanted ipad bought affordable alternative ipad mini liked expandable storage option size super easy use unfortunately granddaughter wanted ipad mini go apple products ended returning hindsight kept,Positive,1
christmas gift hard review purchased son present,Positive,1
great great child unfortunately volume limit setting,Positive,1
good tablet sister told kindle fire wanted one said bought best buy,Positive,0
great kids google play store great tablets kids price wonderful warranty soft yet bulky good thing instance case thing wish could access google play store kids could watch movies google play movies account,Neutral,0
great new user really comfortable easy well strong toddler baby really enjoy using amazon fire kids,Positive,1
great tablet great price excellent pick black friday sales big small tablet bundled amazon prime service great combo inexpensive entertainment,Positive,0
amazon echo show way go amazon alexa since first hit streets two years ago echo show awesome much alexa echo dot love,Positive,1
perfect step kindle great mom tech savvy luv,Positive,1
great tablet child daughter tablet almost months works well,Neutral,0
perfect perfect cheap device kids grandkids nice sitting around,Positive,0
easy use lot old tablet hasmore memory,Positive,0
great tablet price everything needed screen nice enough price right,Positive,0
good cheap tablet looking around good cheap tablet best one could find especially best buy sale fire case stylus microsd card spent little using every day since got december problems,Positive,0
best kindle yet great ereader little pricy specs voyage far pixels procesor costs less difference voyage much lighter brighter leds longer battery life using cover noticed battery life drains much faster without cover still able read hours without would think water resistant hence name plan reading raining outside taking bath overall best ereader amazon currently offer mind price tag want best go voyage still bad option though,Positive,1
well constructed well constructed kids biggest reason like asks credit card kids tablet suggest buy prepaid credit card amazon gift card game purchases,Positive,4
techy kids like great kid friendly product hours enjoyment,Positive,1
great tablet except got tablet toddler setup going great installed apps amazon transferred account went load netflix say frustrating netflix app understatement completely reset tablet factory settings twice netflix work well tablet either takes long load times load takes several attempts get netflix load works complaint great,Positive,0
love talk g glad used kindles past years love love color well,Positive,1
awesome ages around great tablet yr old use ease also love change profiles suit adults well would recommend anyone ages,Positive,1
love kindle amazing get much tech low price thing everything need much faster old kindle,Positive,2
excellent easy use purchased nephew loves,Positive,1
good kids good product young child play without breaking,Positive,0
great product great price gift grandson loves easy use keeps occupied hours,Positive,1
great tablet bought daughter loves great product great price,Positive,1
alexa knows alexa hand could good bad nice cooking need help recipe annoying kids fight want alexa answer nice product connects ring doorbell nice,Positive,1
great sound great gifts alexa dot room better speaker base ask alexa play music find recipes read news got dot devices give xmas,Positive,1
nice tablet husband loves tablet screen big enough view reading,Positive,0
great gift kids bought christmas gift son holds lot games easy use,Positive,1
good product love echo show fun use lot things,Positive,1
great kids bought grandkids work great might get one,Positive,1
excellent tablet kids bought first edition kindle fire years ago kids loved much bought product replace old one love one even larger screen memory go wrong,Positive,1
great product alexa works great lots things fun family,Positive,1
best echo device far screen really add tremendous value bugs almost worked quality hearing commands night day month ago,Positive,1
great locations screen viewable dreams need topics song lyrics scroll song play watch movies trailers etc get sale bought special deal best buy sure value regular price cool device,Positive,1
even us old people use good time,Positive,0
reasons love kindle oasis even outside bright sunlight words book reading still crystal clear alone makes kindle oasis worth cost kindle oasis wakes seconds book choose instantly opens ready read perfect size heavy bulky really read hours time sometimes pace floor read sometimes elliptical machine read sometimes sitting matter kindle oasis remains comfortable hold always easy eyes receive book pdf time enlarge words allow enlarge words change orientation page words automatically larger able make notes book needed highlight words passages merlot leather cover attractive flip open like opening cover book make battery laston kindle oasis page says dual battery charging system delivers months battery life huge thing instead charge tablet almost every day would able read months without charging kindle oasis performed well much conditions met charge oasis last two months first limit reading thirty minutes day one impossible days able read thirty minutes occur often kindle goes everywhere use every spare moment read second wireless needs turned one easy always easy remember time wireless needs download one books third based light setting way low keep light setting anywhere limit reading thirty minutes day try remember keep wireless turned light setting kept anywhere put kindle sleep second done reading long single charge last ten days longest charge lasted far would kept charge several days remembered turn wireless succeed keeping wireless let know long charge lasts plug charge soon charge cover gets low allow cover charge go low possibly go kindle battery start drain since longer charge cover allow drain plug cover kindle computer charge one thing surprised everything oasis black white reason thought maybe book covers would appear color since bought oasis read books color needed special offers appear screen kindle going sleep waking distraction honest kind fun look pay higher price appear kindle would rather see asked questions kindle knew worked known bought kindle oasis charge last months would still bought yes would known everything would appear black white would still bought yes would,Positive,4
love using kindle fire love new kindle fire easy use battery life amazing,Positive,1
great buy price bought yr old grandson great buy price loves new tablet,Positive,0
new improved kindle fire kindle fire hd great love size graphics easy use navigate perfect gift mom,Positive,1
works great need many apps needed,Positive,1
great device echo plus great alexa best feature problem use wirelessly must remain plugged times kind annoying,Positive,1
great bought two gift kids love much,Positive,1
kindle better reading ipad really like kindle screen easy eyes much better reading ipad,Positive,2
love tablet thrilled purchase affordable high quality,Positive,0
works great screen show much thought would works great speaker seems good,Positive,1
grand niece loves got grand niece loves beat price,Positive,0
gift purchased nephew loved stop playing,Positive,3
works well needs alittle depth searching amazon tap pretty much works advertised understand product evolve system updates love weather traffic movies sports scores schedules answered quickly effortlessly excellent gift gave son daughter son unknowingly gave tap back well wait see improvements made updates coming,Positive,1
great home automation first time using amazons alexa products love far hue light bulbs fire stick plan updating front door lock thermostat easy use convenient,Positive,1
good price good gift price many features options,Positive,0
noce like better apple mini plenty apps,Positive,1
must everyone product great needing see something hands full find phone,Positive,1
great device great echo friend really liked really wants connected lights device everything works well,Positive,1
versatile tablet live without use email banking social media reading watching movies tv shows online college courses even prints wireless printer,Positive,0
mr good product would recommend everyone thank,Positive,0
great things put use use certain things great find everything things downloaded found appstore,Positive,1
performs expected amazon mayday functionality available unexpected services functionality expected,Positive,1
great reader fantastic product reading books wonderful use full sunshine kindle fire thought would unnecessary wishing purchased sooner much longer battery life use full sunlight make much better use reading kindle fire,Positive,1
overall okay overall good tablet fan limitations silk browser amazon app store,Neutral,0
excellent less expensive alternative ipad bought daughter wanted ipad half price completely happy even calls ipad think may even buy one replace aging ipad,Positive,4
great road trips long apps downloaded leaving wifi work great road trips hunting trips,Positive,1
great tablet better expected parental control awesome feature,Positive,0
alexa charm alexa severe hearing loss show gives visuals along captions follow alexa saying,Positive,1
good could better tablet works great daughter loves reason stars cant access google play without rooting tablet way ruin android amazon,Positive,0
good beginner tablet great go companion avid reader easy load books connect prime,Positive,0
great home assistant love echo plus echo echo spot ech show satisfied products work great individually,Positive,1
best biggest best kindle yet light feather buy one today,Positive,2
nice tablet money nice tablet games keeping social media,Positive,0
excellent tablet good daughter age five,Positive,0
perfect first kindle love backlight perfect view sun awesome,Positive,1
love awesome item kids love,Positive,1
wife birthday present loves one first kindles uses daily new one surprise enjoys color cookbooks clarity washington post added feature fact easy use,Positive,1
love echo show previously echo dots play home knew wanted alexa echo show kitchen allows easy review youtube entertainment recipe instructions also like streaming music lyrics stream cool looking forward alexa learning respond questions various topics hands free way go,Positive,1
love love new kindle fire love convenience books time able entire library fingertips,Positive,1
compatible amazon able control lights electrical devices echo plus,Positive,1
nice novelty sort waste screen great sound easy set screen seems sort wasteful playing maybe capability work digital picture frame certain yet able set one picture multiple would nice could used hulu netflix stuff since picture sound clear like visual shopping lists still worth purchase good want must maybe tapped,Neutral,1
love echos throughout whole house kitchen controls lights facetime wife uses recipes shows videos directions,Positive,1
echo entire family loves product ask questions go sleep playing music feel like company anytime want,Positive,1
great tablet great price great tablet great price size would highly recommend,Positive,0
bought one long ago made purchase free space phone use books movies lot,Positive,1
bought year old daughter loves amazing daughter loves reading watching netflix going online look things etc loves touchscreen aspect settings advanced user friendly easy navigate lots great features low price negative camera best quality important,Positive,4
great buy purchased year old grandson loves,Positive,4
luv product exceeded expectations recommend product friends,Positive,1
great tablet kids love read books well play games tablet bought little boy girl charge let play car road trips quite thing wish would section games played without wifi apps need wifi run overall though love tablet,Positive,0
good reader expensive easy handle light weight like automatically shuts cover closed,Positive,4
great tablet kids love table gives sense independence wants sense calmness knowing control gets long spend screen time,Positive,1
fun way getting information enjoy getting recipes news via alexa great speakers,Positive,1
always go perfect homework surfing web starbucks home,Positive,1
great tablet beginners amazon tablet perfect first time users easy operate even year old,Positive,0
